time,cell_id,x,y,radius
2.0000,6,5.065360,0.000000,5.0
2.0000,7,10.227718,0.000000,5.0
2.0000,8,15.666382,0.000000,5.0
2.0000,9,21.749334,0.000000,5.0
2.0000,10,29.191901,0.000000,5.0
2.1000,0,-29.338194,0.000000,5.0
2.1000,1,-21.849947,0.000000,5.0
2.1000,2,-15.722769,0.000000,5.0
2.1000,3,-10.254293,0.000000,5.0
2.1000,4,-5.075143,0.000000,5.0
2.1000,5,0.000000,0.000000,5.0
2.1000,6,5.075143,0.000000,5.0
2.1000,7,10.254293,0.000000,5.0
2.1000,8,15.722769,0.000000,5.0
2.1000,9,21.849947,0.000000,5.0
2.1000,10,29.338194,0.000000,5.0
2.2000,0,-29.481508,0.000000,5.0
2.2000,1,-21.949980,0.000000,5.0
2.2000,2,-15.779997,0.000000,5.0
2.2000,3,-10.281945,0.000000,5.0
2.2000,4,-5.085573,0.000000,5.0
2.2000,5,0.000000,0.000000,5.0
2.2000,6,5.085573,0.000000,5.0
2.2000,7,10.281945,0.000000,5.0
2.2000,8,15.779997,0.000000,5.0
2.2000,9,21.949980,0.000000,5.0
2.2000,10,29.481508,0.000000,5.0
2.3000,0,-29.622015,0.000000,5.0
2.3000,1,-22.049401,0.000000,5.0
2.3000,2,-15.837966,0.000000,5.0
2.3000,3,-10.310603,0.000000,5.0
2.3000,4,-5.096625,0.000000,5.0
2.3000,5,0.000000,0.000000,5.0
2.3000,6,5.096625,0.000000,5.0
2.3000,7,10.310603,0.000000,5.0
2.3000,8,15.837966,0.000000,5.0
2.3000,9,22.049401,0.000000,5.0
2.3000,10,29.622015,0.000000,5.0
2.4000,0,-29.759869,0.000000,5.0
2.4000,1,-22.148183,0.000000,5.0
2.4000,2,-15.896585,0.000000,5.0
2.4000,3,-10.340197,0.000000,5.0
2.4000,4,-5.108269,0.000000,5.0
2.4000,5,0.000000,0.000000,5.0
2.4000,6,5.108269,0.000000,5.0
2.4000,7,10.340197,0.000000,5.0
2.4000,8,15.896585,0.000000,5.0
2.4000,9,22.148183,0.000000,5.0
2.4000,10,29.759869,0.000000,5.0
2.5000,0,-29.895211,0.000000,5.0
2.5000,1,-22.246308,0.000000,5.0
2.5000,2,-15.955773,0.000000,5.0
2.5000,3,-10.370663,0.000000,5.0
2.5000,4,-5.120478,0.000000,5.0
2.5000,5,0.000000,0.000000,5.0
2.5000,6,5.120478,0.000000,5.0
2.5000,7,10.370663,0.000000,5.0
2.5000,8,15.955773,0.000000,5.0
2.5000,9,22.246308,0.000000,5.0
2.5000,10,29.895211,0.000000,5.0
2.6000,0,-30.028171,0.000000,5.0
2.6000,1,-22.343762,0.000000,5.0
2.6000,2,-16.015455,0.000000,5.0
2.6000,3,-10.401937,0.000000,5.0
2.6000,4,-5.133222,0.000000,5.0
2.6000,5,0.000000,0.000000,5.0
2.6000,6,5.133222,0.000000,5.0
2.6000,7,10.401937,0.000000,5.0
2.6000,8,16.015455,0.000000,5.0
2.6000,9,22.343762,0.000000,5.0
2.6000,10,30.028171,0.000000,5.0
2.7000,0,-30.158867,0.000000,5.0
2.7000,1,-22.440534,0.000000,5.0
2.7000,2,-16.075564,0.000000,5.0
2.7000,3,-10.433960,0.000000,5.0
2.7000,4,-5.146471,0.000000,5.0
2.7000,5,0.000000,0.000000,5.0
2.7000,6,5.146471,0.000000,5.0
2.7000,7,10.433960,0.000000,5.0
2.7000,8,16.075564,0.000000,5.0
2.7000,9,22.440534,0.000000,5.0
2.7000,10,30.158867,0.000000,5.0
2.8000,0,-30.287407,0.000000,5.0
2.8000,1,-22.536618,0.000000,5.0
2.8000,2,-16.136040,0.000000,5.0
2.8000,3,-10.466675,0.000000,5.0
2.8000,4,-5.160197,0.000000,5.0
2.8000,5,0.000000,0.000000,5.0
2.8000,6,5.160197,0.000000,5.0
2.8000,7,10.466675,0.000000,5.0
2.8000,8,16.136040,0.000000,5.0
2.8000,9,22.536618,0.000000,5.0
2.8000,10,30.287407,0.000000,5.0
2.9000,0,-30.413894,0.000000,5.0
2.9000,1,-22.632009,0.000000,5.0
2.9000,2,-16.196827,0.000000,5.0
2.9000,3,-10.500028,0.000000,5.0
2.9000,4,-5.174370,0.000000,5.0
